City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
199,gat,31.61,34.7642,17.1,29,13,5.53,IL,1679024085
200,arraial do cabo,-22.9661,-42.0278,19.98,100,20,1.03,BR,1679024019
201,antofagasta,-23.65,-70.4,20.6,89,42,1.58,CL,1679023927
202,auki,-8.7676,160.7034,28.28,77,62,0.74,SB,1679024086
203,sistranda,63.7256,8.834,1.98,61,99,5.11,NO,1679024086
204,coruripe,-10.1256,-36.1756,25.15,74,27,2.68,BR,1679023928
205,tungi,23.89,90.4058,26.0,78,75,3.09,BD,1679024086
206,avera,33.194,-82.5271,11.62,55,99,2.99,US,1679024087
207,titel,45.2061,20.2944,-0.09,75,0,2.76,RS,1679024087
208,nara,34.6851,135.8049,14.65,62,100,1.69,JP,1679024088
209,talnakh,69.4865,88.3972,-15.57,93,100,9.52,RU,1679024088
210,bara,10.3744,10.7288,20.67,11,16,1.89,NG,1679024088
211,alugan,12.2188,125.4808,26.51,87,98,5.5,PH,1679024089
212,pisco,-13.7,-76.2167,23.03,83,40,4.63,PE,1679024089
213,maceio,-9.6658,-35.7353,22.69,94,20,2.06,BR,1679024063
214,dedovichi,57.5517,29.9502,-10.72,98,68,0.61,RU,1679024090
215,aksu,41.1231,80.2644,10.03,32,30,0.91,CN,1679024090
216,cockburn town,21.4612,-71.1419,23.14,58,0,9.03,TC,1679024091
217,acapulco,16.8634,-99.8901,26.9,83,0,3.6,MX,1679024000
218,salalah,17.0151,54.0924,25.05,78,75,1.03,OM,1679024091
219,rabo de peixe,37.8,-25.5833,13.22,79,67,5.12,PT,1679024092
220,diplo,24.4667,69.584,27.18,47,1,4.15,PK,1679024092
221,calatayud,41.3535,-1.6432,12.69,59,100,2.18,ES,1679024093
222,lagunas,-5.2269,-75.6753,24.23,80,87,1.07,PE,1679024093
223,lindenberg,49.3803,8.0986,6.79,74,100,1.11,DE,1679024094
224,bambous virieux,-20.3428,57.7575,25.68,94,75,1.54,MU,1679024094
225,newport,51.5877,-2.9984,10.43,93,40,2.5,GB,1679024094
226,sydney,-33.8679,151.2073,35.33,62,20,7.2,AU,1679023800
227,yumen,40.2833,97.2,7.39,24,99,6.4,CN,1679024095
228,robertsport,6.7533,-11.3686,25.88,83,100,4.7,LR,1679024095
229,mandalgovi,45.7625,106.2708,-3.14,29,0,5.05,MN,1679024096
230,wajima,37.4,136.9,9.38,61,75,3.09,JP,1679024096
231,lincolnton,35.4737,-81.2545,14.14,32,0,1.54,US,1679024096
232,douglas,41.3,-96.167,-2.71,76,0,10.29,US,1679023826
233,goderich,43.7501,-81.7165,4.18,87,100,4.12,CA,1679024097
234,graaff-reinet,-32.2522,24.5308,21.6,59,61,2.96,ZA,1679024097
235,nemuro,43.3236,145.575,0.89,81,100,5.72,JP,1679024098
236,traverse city,44.7631,-85.6206,5.11,95,100,0.0,US,1679024101
237,chapais,49.7834,-74.8492,-9.12,99,89,0.73,CA,1679023966
238,nouakchott,18.0858,-15.9785,19.96,87,99,5.34,MR,1679024102
239,bilibino,68.0546,166.4372,-7.79,87,95,1.21,RU,1679024103
240,sitka,57.0531,-135.33,6.94,70,100,5.14,US,1679024035
241,port hardy,50.6996,-127.4199,7.0,93,20,2.06,CA,1679024103
242,santa lucia,27.9117,-15.5407,14.62,82,75,9.77,ES,1679024053
243,alofi,-19.0595,-169.9187,28.94,74,75,5.14,NU,1679024104
244,pangnirtung,66.1451,-65.7125,-21.58,75,16,2.92,CA,1679024104
245,coolum beach,-26.5333,153.1,35.19,80,0,3.8,AU,1679024105
246,upernavik,72.7868,-56.1549,-15.85,95,100,4.19,GL,1679024105
247,port blair,11.6667,92.75,29.02,74,75,3.6,IN,1679024106
248,ust-nera,64.5667,143.2,-8.16,91,100,2.65,RU,1679024106
249,guasdualito,7.2424,-70.7324,27.0,57,0,1.03,VE,1679024106
250,lanzhou,36.0564,103.7922,9.98,42,100,0.81,CN,1679024107
251,kieta,-6.2167,155.6333,28.33,75,100,2.74,PG,1679024108
252,northport,33.229,-87.5772,17.9,60,75,5.14,US,1679024108
253,carbonia,39.1672,8.5222,4.36,65,4,3.1,IT,1679024108
